	Stdev_slope	R2	Stdev_0.05	Stdev_0.1	Stdev_0.2	Stdev_0.3	Mean_0.05	Mean_0.1	Mean_0.2	Mean_0.3	Stdevnorm_0.05	Stdevnorm_0.1	Stdevnorm_0.2	Stdevnorm_0.3
IMPD	0.8625229646671821	0.999998314279126	0.009112103594573921	0.018231098996011393	0.03652449986681853	0.05493801460529462	0.2116800560732104	0.21182734484185112	0.2120784853414226	0.21227729626000602	0.04304658532130426	0.08606584296103324	0.17222161789781823	0.25880306360226235
IPDPS	0.7540106971448394	0.9999991206933933	8.308130980918326e-05	0.00016623970123206844	0.00033310691989970107	0.0005011024192464629	0.002209035472095155	0.0022094526020529307	0.0022114955469423408	0.002215258176014613	0.03760976718512581	0.07524022062188865	0.1506251822936119	0.22620497451361504
IPMD	0.9631085191926908	0.9999923075046797	0.018749094226934236	0.037513962024208355	0.07515700012867739	0.11302026129381366	0.3918235561028206	0.39178882823938205	0.3915567550231338	0.3911150330238697	0.04785086025306294	0.09575046382202458	0.19194407749200237	0.28896936131553924
IPPMIa	0.9631085191926908	0.9999923075046797	0.018749094226934236	0.037513962024208355	0.07515700012867739	0.11302026129381366	-0.3918235561028206	-0.39178882823938205	-0.3915567550231338	-0.3911150330238697	0.04785086025306294	0.09575046382202458	0.19194407749200237	0.28896936131553924
IPPMIb	0.9631085191926908	0.9999923075046797	0.018749094226934236	0.037513962024208355	0.07515700012867739	0.11302026129381366	-0.3918235561028206	-0.39178882823938205	-0.3915567550231338	-0.3911150330238697	0.04785086025306294	0.09575046382202458	0.19194407749200237	0.28896936131553924
IPPS	0.9631085191926908	0.9999923075046797	0.018749094226934236	0.037513962024208355	0.07515700012867739	0.11302026129381366	0.3918235561028206	0.39178882823938205	0.3915567550231338	0.3911150330238697	0.04785086025306294	0.09575046382202458	0.19194407749200237	0.28896936131553924
K2L4Aabcpp	0.9877845974689196	0.9999950024274185	0.0008314601928960305	0.0016637003290247488	0.003333375633057814	0.005013848399753024	0.01692381435708165	0.016923147232979694	0.016920965434471916	0.016918042235940213	0.04912959781717954	0.09830915645421691	0.19699677574347843	0.2963610286479688
K2L4Aabctex	0.9877845974689196	0.9999950024274185	0.0008314601928960305	0.0016637003290247488	0.003333375633057814	0.005013848399753024	0.01692381435708165	0.016923147232979694	0.016920965434471916	0.016918042235940213	0.04912959781717954	0.09830915645421691	0.19699677574347843	0.2963610286479688
KARA1	0.6660248711999529	0.9999954731753788	0.025202193243809963	0.05041384931858241	0.10095049381130111	0.15172024433000827	-0.7603888624983609	-0.7603002235020238	-0.7599075189500365	-0.7592492747388242	0.033143822176727754	0.06630781862245265	0.13284576253539945	0.19982929108782996
KARA2	0.9915416794435482	0.999999221907581	0.01251585531544836	0.025036293039786335	0.05013425537008828	0.07534625304336251	0.25278118733102106	0.25289173925897185	0.25308991524386276	0.2532686356091572	0.049512605932413176	0.09900004291618285	0.19808871215505297	0.29749539599382707
KAS15	0.5258017552433097	0.9999935595677855	0.008092495922390166	0.016187164682592965	0.03241251630427407	0.04872376771429762	0.3094945488675946	0.3094429081786249	0.30921805708227673	0.3088364124118419	0.026147458661225826	0.05231066621584676	0.10482090408985963	0.15776561880703086
KDOCT2	0.98778459746892	0.9999950024274185	0.0016629203857920609	0.0033274006580494976	0.006666751266115629	0.010027696799506049	0.0338476287141633	0.03384629446595939	0.03384193086894383	0.033836084471880426	0.049129597817179536	0.09830915645421691	0.19699677574347846	0.29636102864796887
KDOPP	0.98778459746892	0.9999950024274185	0.0016629203857920609	0.0033274006580494976	0.006666751266115629	0.010027696799506049	0.0338476287141633	0.03384629446595939	0.03384193086894383	0.033836084471880426	0.049129597817179536	0.09830915645421691	0.19699677574347846	0.29636102864796887
KDOPS	0.98778459746892	0.9999950024274185	0.0016629203857920609	0.0033274006580494976	0.006666751266115629	0.010027696799506049	0.0338476287141633	0.03384629446595939	0.03384193086894383	0.033836084471880426	0.049129597817179536	0.09830915645421691	0.19699677574347846	0.29636102864796887
Kt2pp	1.021864193865246	0.9999998649911167	0.0086726478403658	0.017353620835915032	0.034771532573325416	0.05231104656243246	0.16982618993064127	0.16992665100597767	0.17021642425477088	0.1706303841715005	0.05106778785950387	0.10212418554229358	0.2042783634162191	0.30657521411810607
Ktex	1.021864193865246	0.9999998649911167	0.0086726478403658	0.017353620835915032	0.034771532573325416	0.05231104656243246	0.16982618993064127	0.16992665100597767	0.17021642425477088	0.1706303841715005	0.05106778785950387	0.10212418554229358	0.2042783634162191	0.30657521411810607
LEUTAi	0.9631085191926908	0.9999923075046797	0.018749094226934236	0.037513962024208355	0.07515700012867739	0.11302026129381366	0.3918235561028206	0.39178882823938205	0.3915567550231338	0.3911150330238697	0.04785086025306294	0.09575046382202458	0.19194407749200237	0.28896936131553924
LPADSS	0.98778459746892	0.9999950024274185	0.0008314601928960305	0.0016637003290247488	0.003333375633057814	0.0050138483997530245	0.01692381435708165	0.016923147232979694	0.016920965434471916	0.016918042235940213	0.04912959781717954	0.09830915645421691	0.19699677574347843	0.29636102864796887
MALCOAMT	1.0157687735319503	0.9999998111782556	4.415144790260553e-06	8.832875415737865e-06	1.7693227309189454e-05	2.6611987212751535e-05	8.69881533397733e-05	8.702296433696854e-05	8.714053146600794e-05	8.732468751821024e-05	0.05075570202088462	0.10150051176762247	0.20304245351190317	0.3047475801983489
MALS	-41.208379635661075	0.12332621113798359	1.7193208980063065e-05	0.00013112103614649746	0.0002386724966484708	0.0002689943985718149	5.158621158360265e-07	3.1644187009284296e-05	0.00012438094921640553	0.00017176737258993335	33.32907855076559	4.143605778464999	1.9188830616914965	1.5660389660497123
MCOATA	0.5337174393329076	0.9999935524229873	0.05570985861033997	0.11143253865858176	0.22311982041911102	0.3353931564081428	2.098940560951515	2.0985818142471295	2.0970168189009817	2.0943573673155647	0.026541894347444007	0.053098972792994685	0.10639867949940675	0.16014132145844423
MCTP1App	1.0093507285644348	0.9999959417435731	0.0006065331103718719	0.001213751662296592	0.002432368766168456	0.0036593935048653096	0.012078935781476625	0.012078554631123258	0.012079921742407277	0.01208443843490745	0.050214118308502545	0.10048815436650618	0.2013563347541799	0.3028186642330588
MDH	0.160266010819536	0.9999184129265297	0.051546046026892	0.10350519401840076	0.20974041645610175	0.31737830124554134	6.6189071801902015	6.618290201932358	6.613086775322499	6.60597227340789	0.007787697368104015	0.01563926495519645	0.03171596314731155	0.04804414673720878
MECDPDH5	0.756561346611471	0.9999991245246553	9.386592611616918e-05	0.00018781843447159002	0.00037634344345847774	0.0005661446647966901	0.002487339940268721	0.0024878107666241136	0.002490114350854953	0.0024943545053407955	0.03773747391602144	0.07549546653279186	0.1511350044343403	0.22697041001368792
MECDPS	0.756561346611471	0.9999991245246553	9.386592611616918e-05	0.00018781843447159002	0.00037634344345847774	0.0005661446647966901	0.002487339940268721	0.0024878107666241136	0.002490114350854953	0.0024943545053407955	0.03773747391602144	0.07549546653279186	0.1511350044343403	0.22697041001368792
